Date,pieces,pieces_gaps
2005-01-02,191.30642753043426,189.14993036760808
2005-01-09,188.9315352595222,191.16655119815405
2005-01-16,193.66129945588156,193.0772075675315
2005-01-23,198.83800604741825,198.64544151609275
2005-01-30,190.8520898917614,191.12734734510653
2005-02-06,227.8293152152541,228.58603640453413
2005-02-13,237.69606407753696,237.34737694817107
2005-02-20,234.43717364576452,235.0813131952761
2005-02-27,229.05262807032523,233.78698224301178
2005-03-06,265.97881739591196,268.93516645275764
2005-03-13,261.74892871391984,264.35639249141053
2005-03-20,262.53736841013085,261.17074983205924
2005-03-27,266.8758285358123,264.2081060511273
2005-04-03,280.7374093443768,283.60331101909003
2005-04-10,282.47922140510065,285.10736178269
2005-04-17,289.09237292146094,293.51038494871386
2005-04-24,287.6396549659937,285.827713088086
2005-05-01,310.0601106063366,309.37146464025557
2005-05-08,304.7487535657542,299.8303010781779
2005-05-15,303.02735543668376,301.84994211850113
2005-05-22,318.217117787968,321.20682931970634
2005-05-29,310.55999244092754,309.1605063032429
2005-06-05,317.93764102343965,319.8590804090421
2005-06-12,311.2762590689327,310.70474975093924
2005-06-19,316.4780863773741,317.4502574620388
2005-06-26,320.55461294854933,317.1115387791023
2005-07-03,309.93390605624876,310.1895344051505
2005-07-10,318.36736403508854,309.3939561223864
2005-07-17,314.2856804937662,313.72499201928025
2005-07-24,316.63040519439386,311.7389854632484
2005-07-31,315.88034088221326,319.4983244318537
2005-08-07,313.9652014902105,316.29742354850407
2005-08-14,305.43632444397616,306.8363373898744
2005-08-21,301.0152559228863,305.5782746043644
2005-08-28,311.21653512818176,308.3697855657073
2005-09-04,277.961798928127,283.2038885218737
2005-09-11,285.9103351530059,288.7069098457871
2005-09-18,275.8676665585832,275.15800069692636
2005-09-25,279.82508693349,283.2319473750388
2005-10-02,257.1843061793456,253.8654256421107
2005-10-09,260.69233289997703,258.21879041539404
2005-10-16,258.6568414059499,256.8310722362308
2005-10-23,258.0217585880588,256.43482546386673
2005-10-30,257.8944815220535,254.72480859377276
2005-11-06,216.63024681354102,220.29949601482699
2005-11-13,221.2236357234046,220.44707252229512
2005-11-20,126.04536033659859,127.10287524166922
2005-11-27,231.70846789647274,229.9974137972317
2005-12-04,190.11809144784235,184.6562815461968
2005-12-11,180.38479922318635,181.19497129836063
2005-12-18,191.62041984697402,185.8836549207147
2005-12-25,188.87458859791846,188.66868645966204
2006-01-01,227.0382467638483,222.93330164734985
2006-01-08,234.28123820958245,240.24306620727486
2006-01-15,237.17785437785784,239.91194254438201
2006-01-22,237.4792573609591,237.79651873477354
2006-01-29,229.4267691492649,233.21788918222893
2006-02-05,269.0539381207439,266.5149901883467
2006-02-12,273.0563171570178,274.6867552930281
2006-02-19,277.0777256356118,277.6771569367679
2006-02-26,235.2301626613162,236.02222290531722
2006-03-05,303.93772229466305,307.7547827949833
2006-03-12,300.13434230795195,302.33181861629134
2006-03-19,300.48498405757874,301.3511550460538
2006-03-26,311.3286462899531,
2006-04-02,338.6850107105199,
2006-04-09,295.43106583525343,
2006-04-16,338.52147505712594,
2006-04-23,336.11199069290393,
2006-04-30,331.87821179464015,
2006-05-07,304.98581258068367,
2006-05-14,359.3790567756901,
2006-05-21,352.30974374781044,
2006-05-28,361.1120922224303,
2006-06-04,346.10127447955125,
2006-06-11,364.1095125218761,
2006-06-18,361.23523534119084,
2006-06-25,360.1049632476707,
2006-07-02,357.7476778260378,
2006-07-09,200.70722005327403,200.2414429067998
2006-07-16,357.7905145041727,352.0670918305405
2006-07-23,361.47443680091897,358.89328176858044
2006-07-30,367.87834416706784,366.63752756680293
2006-08-06,343.71245947629757,349.3755224483181
2006-08-13,343.06134255319984,
2006-08-20,345.3950253497431,
2006-08-27,353.28082115617616,
2006-09-03,327.3097727262806,
2006-09-10,323.817216159147,
2006-09-17,329.8323543435489,
2006-09-24,328.55140492472236,
2006-10-01,302.64322495266447,
2006-10-08,295.08973453061327,
2006-10-15,297.76168926701115,
2006-10-22,298.2394592343392,
2006-10-29,293.6824252593394,
2006-11-05,267.10345815070104,
2006-11-12,267.7281331262776,
2006-11-19,259.1192996931802,
2006-11-26,266.8499210985024,
2006-12-03,222.92314628974796,226.52393153896446
2006-12-10,228.69677338617325,227.30728929991704
2006-12-17,229.8864274173662,228.6521475960182
2006-12-24,228.38861365389195,231.8503158566592
2006-12-31,232.39357144166996,226.7843463425837
2007-01-07,274.8431110494508,273.67754872390174
2007-01-14,283.0537862714308,283.62505794120597
2007-01-21,275.29574582953734,276.64340199339244
2007-01-28,276.510608718992,274.9811886394193
2007-02-04,250.51922841143985,250.62255144655737
2007-02-11,303.40614392350477,295.9411618632658
2007-02-18,313.66743062275395,311.6926853857524
2007-02-25,314.90115104970516,316.26167718736855
